source_id,ll,bb,X_8.125,Y_8.125,X_8.50,Y_8.50,Vlsr
509928345942944640, 128.79,  -1.42,   2.13,   9.84,   2.13,  10.21, -47.52
511449004878863616, 128.97,  -0.85,   2.37,  10.04,   2.37,  10.41, -42.14
409731912881997056, 130.04,  -5.64,   1.32,   9.23,   1.32,   9.61, -34.13
405336164170476672, 131.70, -13.47,   1.34,   9.32,   1.34,   9.69, -76.93
511285796125754368, 129.21,  -0.59,   2.02,   9.77,   2.02,  10.15, -32.84
511190963244486144, 129.45,  -1.14,   2.17,   9.91,   2.17,  10.29, -48.09
511189863732885248, 129.51,  -1.18,   1.95,   9.74,   1.95,  10.11, -35.96
509656182453678464, 129.75,  -1.76,   1.88,   9.69,   1.88,  10.07, -44.92
518229693090250368, 129.24,   2.72,   0.75,   8.74,   0.75,   9.11, -20.84
508299728699489408, 130.09,  -0.68,   1.60,   9.47,   1.60,   9.85, -26.42
508283820140890496, 130.42,  -0.85,   2.20,  10.00,   2.20,  10.38, -42.79
508712629677112704, 130.48,   0.16,   2.61,  10.35,   2.61,  10.72, -44.48
508217918160561920, 130.81,  -1.05,   2.00,   9.85,   2.00,  10.22, -57.72
507801821730480000, 131.41,  -2.49,   1.50,   9.45,   1.50,   9.82, -48.23
508241317143609600, 131.02,  -0.81,   1.62,   9.54,   1.62,   9.91, -38.56
507995610656165248, 131.30,  -1.51,   1.61,   9.54,   1.61,   9.91, -39.66
507785054178237824, 131.61,  -2.55,   1.69,   9.62,   1.69,  10.00, -54.63
517962610540999552, 130.47,   2.30,   2.28,  10.07,   2.28,  10.45, -37.45
508770250956210304, 131.19,   0.47,   1.81,   9.71,   1.81,  10.08, -43.44
456507783227720576, 133.10,  -6.22,   1.65,   9.67,   1.65,  10.05, -24.44
506975882341073152, 132.63,  -2.65,   1.72,   9.70,   1.72,  10.08, -36.14
457052518218003712, 133.68,  -4.66,   1.50,   9.55,   1.50,   9.93, -43.09
458754807039765632, 133.82,  -2.95,   1.84,   9.89,   1.84,  10.27, -44.75
514706067560082176, 132.28,   1.91,   0.80,   8.85,   0.80,   9.22,  -4.41
458789338577616640, 133.94,  -2.50,   1.55,   9.62,   1.55,  10.00, -54.56
458569917288566528, 134.52,  -3.47,   1.61,   9.71,   1.61,  10.09, -35.35
459182585782778112, 134.07,  -2.00,   1.58,   9.65,   1.58,  10.03, -43.47
507264779020035712, 133.95,  -1.28,   1.95,  10.00,   1.95,  10.38, -38.61
458357741598022528, 134.87,  -3.80,   1.50,   9.62,   1.50,   9.99, -46.19
458456976830410880, 134.88,  -3.62,   1.79,   9.91,   1.79,  10.28, -46.70
458512570887734528, 134.73,  -2.93,   1.79,   9.90,   1.79,  10.27, -46.37
458284937619681664, 135.21,  -4.09,   1.55,   9.69,   1.55,  10.06, -45.60
458407464445792384, 135.07,  -3.60,   1.71,   9.83,   1.71,  10.21, -46.60
458413443039836928, 135.14,  -3.48,   1.42,   9.55,   1.42,   9.93, -45.09
